date,open,high,low,close,volume,amount,turn,pctChg,tradestatus,isST
2006-01-04,2174.7160,2204.4970,2172.2600,2204.2350,1501680200,8222429055.0000,0.019492,1.728651,1,0
2006-01-05,2209.9430,2244.3050,2206.0010,2242.0440,1764726300,9593100266.0000,0.022906,1.715282,1,0
2006-01-06,2247.8020,2286.0800,2235.9360,2272.4580,2026240900,10899564338.0000,0.026273,1.356533,1,0
2006-01-09,2275.6490,2286.9410,2264.4980,2282.1890,1559603000,8468355279.0000,0.020223,0.428213,1,0
2006-01-10,2281.8430,2287.2000,2255.7080,2286.7020,1455537100,8224574361.0000,0.018873,0.197746,1,0
2006-01-11,2285.4120,2298.1890,2266.1790,2277.8870,1653104400,8914293123.0000,0.021435,-0.385487,1,0
2006-01-12,2276.3820,2300.5670,2269.6330,2299.0160,1303841000,6851926020.0000,0.016896,0.927577,1,0
2006-01-13,2304.0950,2312.0020,2277.6920,2288.8860,1317756000,7022866585.0000,0.017050,-0.440629,1,0
2006-01-16,2286.7380,2286.7380,2245.8550,2246.4120,1273422200,6552227237.0000,0.016469,-1.855657,1,0
2006-01-17,2242.7990,2256.0730,2240.1650,2253.1720,1037878300,5464646755.0000,0.013423,0.300925,1,0
2006-01-18,2253.8670,2301.5970,2252.7250,2299.2660,1374274800,6940647159.0000,0.017751,2.045738,1,0
2006-01-19,2302.4700,2320.1790,2286.7240,2317.1930,1678666000,8296346088.0000,0.021650,0.779684,1,0
2006-01-20,2316.5860,2327.0950,2309.5590,2322.8100,1669902600,8725155617.0000,0.021534,0.242403,1,0
2006-01-23,2323.1600,2332.9630,2313.6940,2328.2810,1339910300,7040411695.0000,0.017262,0.235531,1,0
2006-01-24,2333.5870,2343.1550,2318.1000,2328.7340,1428877100,8746126313.0000,0.018166,0.019451,1,0
2006-01-25,2327.6010,2352.6270,2324.1900,2352.2360,1318828900,7577874618.0000,0.016760,1.009226,1,0
2006-02-06,2361.6960,2399.7330,2359.2980,2398.7080,1550139300,8590946302.0000,0.019700,1.975649,1,0
2006-02-07,2401.4970,2408.5040,2364.7590,2388.1490,2036979800,11439991900.0000,0.025886,-0.440199,1,0
2006-02-08,2384.6240,2398.5490,2374.9930,2397.2310,1772287900,9589075305.0000,0.022523,0.380296,1,0
2006-02-09,2396.8130,2396.8130,2360.3890,2366.0690,1522949800,8069534109.0000,0.019311,-1.299911,1,0
2006-02-10,2366.5300,2393.3450,2362.5450,2392.7530,1360534900,7502937424.0000,0.017198,1.127771,1,0
2006-02-13,2397.8870,2399.3870,2369.6800,2391.2490,1362264400,7434758607.0000,0.017196,-0.062853,1,0
2006-02-14,2391.7120,2403.4590,2385.5230,2402.2970,1127361300,6108596148.0000,0.014210,0.462022,1,0
2006-02-15,2407.6230,2424.7160,2403.4830,2411.5720,1705136500,8984010593.0000,0.021492,0.386085,1,0
2006-02-16,2413.4020,2413.4020,2360.5340,2364.3780,1702207100,9137908914.0000,0.021420,-1.956985,1,0
2006-02-17,2361.2270,2382.1840,2352.6700,2361.6040,1395184700,7502894598.0000,0.017537,-0.117322,1,0
2006-02-20,2361.9530,2381.7370,2358.7430,2362.0550,1149090900,6179303770.0000,0.014440,0.019094,1,0
2006-02-21,2361.2580,2403.0780,2348.8390,2402.7820,1521552300,8183175145.0000,0.019118,1.724221,1,0
2006-02-22,2404.8880,2419.7780,2393.7340,2397.7590,1685809500,8648817395.0000,0.021141,-0.209047,1,0
2006-02-23,2398.6020,2409.8320,2379.8260,2408.9870,1166879300,6288137930.0000,0.014631,0.468272,1,0
2006-02-24,2410.9650,2429.6560,2410.9650,2429.1270,1276277400,6842804380.0000,0.016002,0.836032,1,0
